"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 23:01:46 GMT 2023","Thu Jul 27 23:01:47 GMT 2023","850","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAssociateComments","testAssociateComments",""
"passed","Thu Jul 27 23:01:35 GMT 2023","Thu Jul 27 23:01:40 GMT 2023","5466","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbility","testAddAbility",""
"passed","Thu Jul 27 23:01:42 GMT 2023","Thu Jul 27 23:01:43 GMT 2023","303","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentValidate","testStudentValidate",""
"passed","Thu Jul 27 23:01:47 GMT 2023","Thu Jul 27 23:01:48 GMT 2023","953","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testDeleteComments","testDeleteComments",""
"passed","Thu Jul 27 23:01:41 GMT 2023","Thu Jul 27 23:01:41 GMT 2023","145","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedWithoutToken","testValidatedWithoutToken",""
"passed","Thu Jul 27 23:01:44 GMT 2023","Thu Jul 27 23:01:44 GMT 2023","142","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testDeleteSkill","testDeleteSkill",""
"passed","Thu Jul 27 23:01:41 GMT 2023","Thu Jul 27 23:01:41 GMT 2023","358","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testValidatedAbilities","testValidatedAbilities",""
"passed","Thu Jul 27 23:01:44 GMT 2023","Thu Jul 27 23:01:44 GMT 2023","179","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkills","testListSkills",""
"passed","Thu Jul 27 23:01:44 GMT 2023","Thu Jul 27 23:01:45 GMT 2023","191","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testSkillCode","testSkillCode",""
"passed","Thu Jul 27 23:01:43 GMT 2023","Thu Jul 27 23:01:43 GMT 2023","389","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateCreatedStudent","testValidateCreatedStudent",""
"passed","Thu Jul 27 23:01:40 GMT 2023","Thu Jul 27 23:01:41 GMT 2023","415","Surefire suite","Surefire test","com.restassured.exercise.StudentsSkillsTests","com.restassured.exercise.StudentsSkillsTests","testAddAbilityRepeated","testAddAbilityRepeated",""
"passed","Thu Jul 27 23:01:44 GMT 2023","Thu Jul 27 23:01:44 GMT 2023","133","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateWithoutToken","testValidateWithoutToken",""
"passed","Thu Jul 27 23:01:41 GMT 2023","Thu Jul 27 23:01:42 GMT 2023","1088","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testStudentCreated","testStudentCreated",""
"passed","Thu Jul 27 23:01:43 GMT 2023","Thu Jul 27 23:01:43 GMT 2023","359","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testUpdatedStudent","testUpdatedStudent",""
"passed","Thu Jul 27 23:01:43 GMT 2023","Thu Jul 27 23:01:44 GMT 2023","337","Surefire suite","Surefire test","com.restassured.exercise.StudentsTests","com.restassured.exercise.StudentsTests","testValidateSpecialCharacters","testValidateSpecialCharacters",""
"passed","Thu Jul 27 23:01:45 GMT 2023","Thu Jul 27 23:01:46 GMT 2023","703","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testAddComments","testAddComments",""
"passed","Thu Jul 27 23:01:48 GMT 2023","Thu Jul 27 23:01:48 GMT 2023","307","Surefire suite","Surefire test","com.restassured.exercise.StudentsCommentsTests","com.restassured.exercise.StudentsCommentsTests","testValidatedComments","testValidatedComments",""
"passed","Thu Jul 27 23:01:45 GMT 2023","Thu Jul 27 23:01:45 GMT 2023","511","Surefire suite","Surefire test","com.restassured.exercise.RestAssureAuthTest","com.restassured.exercise.RestAssureAuthTest","test1","Valid Autentication Scenario with valid username and password.","Test Description: Login test with valid username and password."
"passed","Thu Jul 27 23:01:44 GMT 2023","Thu Jul 27 23:01:44 GMT 2023","132","Surefire suite","Surefire test","com.restassured.exercise.SkillsTests","com.restassured.exercise.SkillsTests","testListSkillsNo","testListSkillsNo",""
